epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,4744.95,1.7098,3.58235,1.84759,0.48119,0.3411,0.36372,0.17741,1.58096,5.37916,1.68507,0.003961,0.003961,0.003961
124,4782.15,1.69058,3.59127,1.80204,0.41647,0.41431,0.37643,0.18459,1.58096,5.82711,1.66602,0.0039115,0.0039115,0.0039115
125,4820.13,1.68083,3.45041,1.80764,0.45066,0.45396,0.38243,0.18259,1.59382,5.71424,1.67663,0.003862,0.003862,0.003862
126,4858.24,1.64502,3.37012,1.75126,0.43912,0.44448,0.38647,0.18287,1.5963,5.71679,1.67276,0.0038125,0.0038125,0.0038125
127,4896.73,1.67693,3.57639,1.81885,0.50215,0.36157,0.36117,0.1715,1.59755,5.68104,1.68455,0.003763,0.003763,0.003763
128,4935.07,1.67026,3.32529,1.80109,0.44564,0.40758,0.3515,0.16912,1.61818,5.72884,1.69746,0.0037135,0.0037135,0.0037135
129,4972.64,1.63811,3.38744,1.78552,0.37752,0.40758,0.34914,0.16501,1.61571,5.39389,1.67895,0.003664,0.003664,0.003664
130,5010.4,1.65732,3.36606,1.78037,0.49073,0.36287,0.3724,0.1787,1.622,5.5762,1.67221,0.0036145,0.0036145,0.0036145
131,5046.98,1.60203,3.34778,1.73698,0.51326,0.40085,0.37915,0.18515,1.63642,5.67601,1.69217,0.003565,0.003565,0.003565
132,5084.07,1.61516,3.37596,1.77117,0.49912,0.38522,0.36059,0.18081,1.58863,5.67975,1.66581,0.0035155,0.0035155,0.0035155
133,5121.06,1.61588,3.21285,1.75235,0.43068,0.38805,0.36429,0.17869,1.5893,5.71171,1.68878,0.003466,0.003466,0.003466
134,5158,1.59629,3.18947,1.70395,0.4402,0.39788,0.35336,0.17712,1.58754,5.6421,1.66774,0.0034165,0.0034165,0.0034165
135,5194.68,1.60027,3.22867,1.7315,0.52255,0.3366,0.34921,0.17491,1.65582,5.602,1.73607,0.003367,0.003367,0.003367
136,5231.93,1.60622,3.2241,1.7538,0.44113,0.39836,0.37939,0.18046,1.60935,5.39648,1.70364,0.0033175,0.0033175,0.0033175
137,5269.16,1.6128,3.24382,1.75627,0.48167,0.37206,0.39131,0.18622,1.60155,5.67675,1.703,0.003268,0.003268,0.003268
138,5306.99,1.61303,3.1664,1.74894,0.55969,0.36082,0.37948,0.18267,1.60466,5.51756,1.67979,0.0032185,0.0032185,0.0032185
139,5343.3,1.58053,3.14009,1.71871,0.5247,0.36558,0.39604,0.19251,1.60796,5.55753,1.67085,0.003169,0.003169,0.003169
140,5379.43,1.61726,3.19822,1.7487,0.39466,0.43268,0.39581,0.19773,1.55782,5.72511,1.66325,0.0031195,0.0031195,0.0031195
141,5415.71,1.55517,3.14941,1.70839,0.41405,0.4931,0.39133,0.19294,1.59009,5.66479,1.68349,0.00307,0.00307,0.00307
142,5451.68,1.5506,3.1263,1.69926,0.42307,0.44448,0.38847,0.19021,1.56022,5.38893,1.65031,0.0030205,0.0030205,0.0030205
143,5488.25,1.60041,3.07755,1.73489,0.44661,0.43667,0.37168,0.18344,1.5995,5.60689,1.68174,0.002971,0.002971,0.002971
144,5524.32,1.56353,3.09141,1.67605,0.4443,0.4065,0.37517,0.19115,1.60082,5.57517,1.68263,0.0029215,0.0029215,0.0029215
145,5560.59,1.53976,3.06573,1.70092,0.41027,0.43919,0.38314,0.19211,1.6005,5.4626,1.69942,0.002872,0.002872,0.002872
146,5596.98,1.52999,2.98329,1.70352,0.42034,0.46647,0.38924,0.19572,1.59599,5.22663,1.69184,0.0028225,0.0028225,0.0028225
147,5633.29,1.5569,2.97314,1.69974,0.52422,0.36973,0.37304,0.19178,1.56311,5.24116,1.66251,0.002773,0.002773,0.002773
148,5669.43,1.52777,2.96801,1.69135,0.47637,0.44458,0.39798,0.19761,1.5309,5.28796,1.63608,0.0027235,0.0027235,0.0027235
149,5705.93,1.54109,2.98183,1.65893,0.4071,0.50549,0.39977,0.20244,1.58314,5.44419,1.69419,0.002674,0.002674,0.002674
150,5742.38,1.50427,2.91863,1.63994,0.37721,0.47748,0.39801,0.20447,1.58089,5.33817,1.68428,0.0026245,0.0026245,0.0026245
151,5778.91,1.51034,2.79638,1.68315,0.35778,0.48246,0.39439,0.19832,1.5773,5.18345,1.69428,0.002575,0.002575,0.002575
